Symbol,Start_Date,End_Date,Min_Close,Max_Close
AAPL,2020-03-20,2025-03-18,54.44989776611328,258.7355041503906
NVDA,2020-03-20,2025-03-18,5.124868869781494,149.41624450683594
MSFT,2020-03-20,2025-03-18,130.1571807861328,464.8543395996094
AMZN,2020-03-20,2025-03-18,81.81999969482422,242.05999755859372
META,2020-03-20,2025-03-18,88.4929428100586,736.0151977539062
GOOGL,2020-03-20,2025-03-18,52.455711364746094,206.14259338378903
AVGO,2020-03-20,2025-03-18,16.969955444335938,249.3319549560547
TSLA,2020-03-20,2025-03-18,28.50200080871582,479.8599853515625
GOOG,2020-03-20,2025-03-18,52.58195114135742,207.4736328125
JPM,2020-03-20,2025-03-18,68.4809341430664,279.95001220703125
LLY,2020-03-20,2025-03-18,111.9665069580078,956.78369140625
V,2020-03-20,2025-03-18,130.9986114501953,362.7099914550781
XOM,2020-03-20,2025-03-18,24.80937385559082,123.24581909179688
COST,2020-03-20,2025-03-18,258.3775939941406,1076.8599853515625
MA,2020-03-20,2025-03-18,197.66632080078125,576.3099975585938
UNH,2020-03-20,2025-03-18,181.06378173828125,620.21044921875
NFLX,2020-03-20,2025-03-18,166.3699951171875,1058.5999755859375
WMT,2020-03-20,2025-03-18,33.98200607299805,105.0500030517578
PG,2020-03-20,2025-03-18,86.34270477294922,178.61087036132812
JNJ,2020-03-20,2025-03-18,96.58907318115234,170.24354553222656
HD,2020-03-20,2025-03-18,134.92538452148438,428.6497497558594
ABBV,2020-03-20,2025-03-18,52.260475158691406,216.66000366210935
BAC,2020-03-20,2025-03-18,15.967167854309082,47.440616607666016
CRM,2020-03-20,2025-03-18,127.55754089355467,367.4507446289063
